Neighbor_Type,k,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
DTW,1,4.5580780217290595,9.40738060783302,6.153571136175321,11.934569349067969,8.536139097733292,14.832266940494312
DTW,2,4.5365237293917335,9.374861964313453,6.110736583239714,11.890482368432078,8.478417374651684,14.78725877623955
DTW,3,4.531917839783975,9.366321787124498,6.0847189555719545,11.867632657560453,8.423072182381,14.747034538179586
DTW,4,4.5306715440745995,9.356340506412277,6.067883377642997,11.842792732933093,8.374280912576184,14.696617380009867
DTW,5,4.539993185962144,9.355735451349805,6.074377803445798,11.837812964778534,8.371920696734495,14.687930498345509
GEO,1,4.684917195917018,9.498859403505291,6.342698232825826,12.074308908503006,8.790339790180852,15.02481111081194
GEO,2,4.688471548997329,9.452709379225794,6.36657939973564,12.046468368254834,8.851584413675017,15.035593375887322
GEO,3,4.699544089097468,9.411549652881433,6.37211664558447,11.997438148008365,8.858979372046365,14.981173370021189
GEO,4,4.683682643351458,9.396193347886229,6.363590990519529,11.979375225730637,8.839392045425438,14.950831640288438
GEO,5,4.67134684686235,9.382229364964907,6.357573233296288,11.991805336190122,8.849174428201252,15.015158721097404
L2,1,4.5466142162704735,9.394141807210941,6.15385456308245,11.929679205315898,8.551294621103098,14.834704449919444
L2,2,4.50828934547984,9.34506599371254,6.086494416542644,11.860895016733751,8.462477473410479,14.754806369648803
L2,3,4.509080797813349,9.338233755913116,6.076988519533697,11.852925464637247,8.439207866377737,14.749060660269773
L2,4,4.510108450608131,9.324683726058172,6.061421432959226,11.826565202897696,8.39266951102051,14.701225829820002
L2,5,4.528240565392771,9.34598286257125,6.0698249734747325,11.837495224640632,8.382677578181646,14.69316043554066
