Neighbor_Type,k,MAE_15mins,RMSE_15mins,MAE_30mins,RMSE_30mins,MAE_60mins,RMSE_60mins
DTW,1,3.9314560430963894,9.561503277349509,5.229433016921718,12.349294905493805,7.260793558657936,15.67658337746877
DTW,2,3.9100896686175575,9.511184917152857,5.201189515401481,12.283317986256094,7.223722486413678,15.604290323170042
DTW,3,3.898930938246633,9.48038209347393,5.181832122905968,12.237010872653489,7.1821336146183645,15.540947379208886
DTW,4,3.89456569074,9.4573072398802,5.17623292282728,12.20398950971349,7.1652327726152985,15.495031939034883
DTW,5,3.889746028079472,9.445778994479644,5.171690193234959,12.188630154507251,7.155206204554662,15.470703549352168
GEO,1,4.016727969840387,9.616810265134689,5.356923209867025,12.430198517663857,7.450460248612221,15.802985097252463
GEO,2,4.003109724052924,9.571714986699558,5.3633107179054145,12.396981562586616,7.502985724335444,15.803320469890181
GEO,3,4.000960260168746,9.51346232750254,5.370973105895336,12.348622193406321,7.51618450502355,15.765130685065497
GEO,4,3.9614687085117573,9.48612033958614,5.323678375918709,12.30564267818828,7.458233241693596,15.701213304580698
GEO,5,3.9233277522877628,9.439845030743228,5.293062292575761,12.278589720964602,7.4457628450407265,15.714832761165225
L2,1,3.9231391468934724,9.550609798811385,5.221281538650881,12.343451508349505,7.258542131610182,15.683761896764668
L2,2,3.8988677986716564,9.50130805545918,5.18749225914223,12.278041952246442,7.202252038897662,15.606833599375262
L2,3,3.887785321158126,9.471188642468825,5.175263850233559,12.246684708191696,7.176880198212849,15.575245022977422
L2,4,3.8788117592209366,9.445316208478092,5.161141656332226,12.21444105782529,7.143242251576171,15.525990454788504
L2,5,3.8781482026954928,9.435802994380706,5.155047057339476,12.194863615994247,7.119338366666045,15.482130028245088
